Name,Description,Price (INR)
Paracetamol,Pain reliever and fever reducer,20
Insulin,Hormone for diabetes treatment,300
Cough Syrup,Relief for cold and sore throat,90
Antibiotic Cream,Topical treatment for skin infections,150
Vitamin D3,Supports bone health,200
Ibuprofen,Pain reliever and anti-inflammatory,25
Amoxicillin,Antibiotic for bacterial infections,80
Cetirizine,Allergy relief antihistamine,15
Metformin,Controls blood sugar levels,60
Omeprazole,Treats acid reflux and ulcers,75
Aspirin,Pain reliever and anti-inflammatory,30
Hydrocortisone,Topical steroid for inflammation,120
Loratadine,Non-drowsy allergy relief,18
Calcium Tablets,Supports bone and teeth health,170
Azithromycin,Antibiotic for respiratory infections,95
Diclofenac,Pain reliever for arthritis,40
Pantoprazole,Reduces stomach acid production,85
Thyroxine,Hormone replacement for thyroid,110
Salbutamol,Bronchodilator for asthma,140
Ranitidine,Reduces stomach acid,70
